7,2,51,1,11,"get_time_limit@11-21@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","get_time_limit","get_time_limit( connection )",11,21
14,5,82,1,19,"reset_game@25-43@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","reset_game","reset_game( connection )",25,43
6,1,51,2,11,"lock@47-57@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","lock","lock( connection , value )",47,57
6,1,51,2,10,"unlock@61-70@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","unlock","unlock( connection , value )",61,70
22,6,170,3,29,"switch@75-103@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","switch","switch( connection , player , team = None )",75,103
14,3,74,2,20,"set_balance@107-126@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","set_balance","set_balance( connection , value )",107,126
20,3,142,2,24,"toggle_build@130-153@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","toggle_build","toggle_build( connection , player = None )",130,153
20,3,142,2,24,"toggle_kill@157-180@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","toggle_kill","toggle_kill( connection , player = None )",157,180
8,1,60,1,12,"toggle_teamkill@184-195@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","toggle_teamkill","toggle_teamkill( connection )",184,195
12,4,78,2,18,"global_chat@199-216@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","global_chat","global_chat( connection , value = None )",199,216
6,1,48,2,11,"set_time_limit@220-230@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","set_time_limit","set_time_limit( connection , duration )",220,230
26,10,255,2,38,"fog@234-271@./piqueserver\core_commands\game.py","./piqueserver\core_commands\game.py","fog","fog( connection , * args )",234,271
3,1,20,1,7,"streak@7-13@./piqueserver\core_commands\info.py","./piqueserver\core_commands\info.py","streak","streak( connection )",7,13
5,2,40,2,9,"ping@18-26@./piqueserver\core_commands\info.py","./piqueserver\core_commands\info.py","ping","ping( connection , player )",18,26
5,2,27,1,9,"rules@31-39@./piqueserver\core_commands\info.py","./piqueserver\core_commands\info.py","rules","rules( connection )",31,39
12,6,100,1,18,"commands@43-60@./piqueserver\core_commands\info.py","./piqueserver\core_commands\info.py","commands","commands( connection )",43,60
9,4,66,2,15,"help_command@64-78@./piqueserver\core_commands\info.py","./piqueserver\core_commands\info.py","help_command","help_command( connection , command_name = None )",64,78
2,1,16,1,6,"mapname@6-11@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","mapname","mapname( connection )",6,11
2,1,19,1,6,"show_rotation@15-20@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","show_rotation","show_rotation( connection )",15,20
13,3,82,2,20,"change_planned_map@24-43@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","change_planned_map","change_planned_map( connection , * pre_maps )",24,43
12,3,72,2,18,"change_rotation@47-64@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","change_rotation","change_rotation( connection , * pre_maps )",47,64
13,2,92,2,21,"rotation_add@68-88@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","rotation_add","rotation_add( connection , * pre_maps )",68,88
8,1,48,1,13,"revert_rotation@92-104@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","revert_rotation","revert_rotation( connection )",92,104
2,1,14,1,6,"advance@108-113@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","advance","advance( connection )",108,113
7,2,42,2,12,"load_map@117-128@./piqueserver\core_commands\map.py","./piqueserver\core_commands\map.py","load_map","load_map( connection , map )",117,128
2,2,22,1,2,"has_digits@15-16@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","has_digits","has_digits( s : str )",15,16
19,7,126,2,27,"get_ban_arguments@19-45@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","get_ban_arguments","get_ban_arguments( connection , args )",19,45
4,1,33,3,9,"kick@49-57@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","kick","kick( connection , value , * arg )",49,57
4,1,39,3,8,"ban@61-68@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","ban","ban( connection , value , * arg )",61,68
5,1,41,3,9,"hban@72-80@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","hban","hban( connection , value , * arg )",72,80
5,1,41,3,9,"dban@84-92@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","dban","dban( connection , value , * arg )",84,92
5,1,41,3,9,"wban@96-104@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","wban","wban( connection , value , * arg )",96,104
5,1,38,3,9,"pban@108-116@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","pban","pban( connection , value , * arg )",108,116
13,5,85,3,17,"banip@120-136@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","banip","banip( connection , ip , * arg )",120,136
6,2,25,2,10,"unban@140-149@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","unban","unban( connection , ip )",140,149
6,2,41,2,10,"undo_ban@153-162@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","undo_ban","undo_ban( connection , * arg )",153,162
4,1,33,2,8,"say@166-173@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","say","say( connection , * arg )",166,173
7,2,59,2,11,"mute@177-187@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","mute","mute( connection , value )",177,187
7,2,60,2,11,"unmute@191-201@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","unmute","unmute( connection , value )",191,201
2,1,23,2,6,"ip@206-211@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","ip","ip( connection , player )",206,211
14,6,86,2,18,"who_was@215-232@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","who_was","who_was( connection , value )",215,232
57,5,427,2,62,"invisible@237-298@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","invisible","invisible( connection , player )",237,298
25,7,128,2,36,"godsilent@302-337@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","godsilent","godsilent( connection , player = None )",302,337
11,4,80,2,17,"god@341-357@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","god","god( connection , player = None )",341,357
9,4,84,2,15,"god_build@362-376@./piqueserver\core_commands\moderation.py","./piqueserver\core_commands\moderation.py","god_build","god_build( connection , player )",362,376
4,1,40,2,8,"unstick@8-15@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","unstick","unstick( connection , player )",8,15
2,1,17,2,11,"move_silent@19-29@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","move_silent","move_silent( connection , * args )",19,29
2,1,15,2,12,"move@34-45@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","move","move( connection , * args )",34,45
43,19,377,3,54,"do_move@48-101@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","do_move","do_move( connection , args , silent = False )",48,101
4,1,49,2,8,"where@106-113@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","where","where( connection , player )",106,113
26,10,231,4,31,"teleport@117-147@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","teleport","teleport( connection , player1 , player2 = None , silent = False )",117,147
2,1,24,3,6,"tpsilent@151-156@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","tpsilent","tpsilent( connection , player1 , player2 = None )",151,156
8,4,82,2,14,"fly@161-174@./piqueserver\core_commands\movement.py","./piqueserver\core_commands\movement.py","fly","fly( connection , player )",161,174
6,2,36,2,11,"client@7-17@./piqueserver\core_commands\player.py","./piqueserver\core_commands\player.py","client","client( connection , player )",7,17
7,2,47,2,11,"weapon@21-31@./piqueserver\core_commands\player.py","./piqueserver\core_commands\player.py","weapon","weapon( connection , value )",21,31
8,3,44,1,12,"intel@36-47@./piqueserver\core_commands\player.py","./piqueserver\core_commands\player.py","intel","intel( connection )",36,47
11,5,86,2,15,"kill@51-65@./piqueserver\core_commands\player.py","./piqueserver\core_commands\player.py","kill","kill( connection , value = None )",51,65
7,2,54,2,11,"heal@70-80@./piqueserver\core_commands\player.py","./piqueserver\core_commands\player.py","heal","heal( connection , player )",70,80
14,6,105,2,18,"deaf@84-101@./piqueserver\core_commands\player.py","./piqueserver\core_commands\player.py","deaf","deaf( connection , value = None )",84,101
12,3,83,2,17,"server_name@12-28@./piqueserver\core_commands\server.py","./piqueserver\core_commands\server.py","server_name","server_name( connection , * arg )",12,28
6,2,35,1,10,"server_info@32-41@./piqueserver\core_commands\server.py","./piqueserver\core_commands\server.py","server_info","server_info( connection )",32,41
4,1,21,1,8,"version@45-52@./piqueserver\core_commands\server.py","./piqueserver\core_commands\server.py","version","version( connection )",45,52
5,2,38,1,9,"scripts@56-64@./piqueserver\core_commands\server.py","./piqueserver\core_commands\server.py","scripts","scripts( connection )",56,64
